Date : 2020-08-29 22:59:35
Directory : g:\香哈菜谱\muen
Total : 46 files,  16408 codes, 114 comments, 189 blanks, all 16711 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          2 |     11,806 |          0 |          2 |     11,808 |
| Vue        |         19 |      3,899 |         49 |        135 |      4,083 |
| JavaScript |         16 |        604 |         60 |         45 |        709 |
| CSS        |          1 |         51 |          5 |          1 |         57 |
| HTML       |          1 |         20 |          0 |          1 |         21 |
| Markdown   |          1 |         15 |          0 |          5 |         20 |
| XML        |          6 |         13 |          0 |          0 |         13 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                               |         46 |     16,408 |        114 |        189 |     16,711 |
| public                                                          |          1 |         20 |          0 |          1 |         21 |
| src                                                             |         40 |      4,500 |        109 |        176 |      4,785 |
| src\api                                                         |          6 |        314 |         22 |         17 |        353 |
| src\api\login                                                   |          1 |         16 |          0 |          2 |         18 |
| src\api\menu                                                    |          1 |         80 |          1 |          4 |         85 |
| src\api\public                                                  |          2 |        183 |          0 |          8 |        191 |
| src\api\user                                                    |          1 |         22 |          0 |          1 |         23 |
| src\components                                                  |          4 |        341 |          0 |         16 |        357 |
| src\components\Dialog                                           |          1 |        195 |          0 |          8 |        203 |
| src\components\FilterContainer                                  |          1 |         59 |          0 |          3 |         62 |
| src\components\Pagination                                       |          1 |         46 |          0 |          3 |         49 |
| src\components\SvgIcon                                          |          1 |         41 |          0 |          2 |         43 |
| src\const                                                       |          1 |          2 |          0 |          1 |          3 |
| src\icons                                                       |          7 |         20 |          1 |          3 |         24 |
| src\icons\svg                                                   |          6 |         13 |          0 |          0 |         13 |
| src\router                                                      |          1 |         52 |          0 |          3 |         55 |
| src\store                                                       |          2 |         39 |          8 |          2 |         49 |
| src\store\types                                                 |          1 |         27 |          8 |          1 |         36 |
| src\styles                                                      |          1 |         51 |          5 |          1 |         57 |
| src\utils                                                       |          2 |        104 |         23 |          6 |        133 |
| src\views                                                       |         14 |      3,549 |         49 |        118 |      3,716 |
| src\views\container                                             |          1 |        195 |          4 |         11 |        210 |
| src\views\index                                                 |          1 |        108 |          0 |          5 |        113 |
| src\views\login                                                 |          1 |         90 |          0 |          4 |         94 |
| src\views\menu                                                  |          3 |        993 |          3 |         30 |      1,026 |
| src\views\menu\child                                            |          2 |        950 |          3 |         27 |        980 |
| src\views\public                                                |          6 |      2,016 |         38 |         53 |      2,107 |
| src\views\public\home                                           |          1 |         13 |          0 |          3 |         16 |
| src\views\public\type                                           |          5 |      2,003 |         38 |         50 |      2,091 |
| src\views\public\type\child                                     |          4 |      1,884 |         37 |         43 |      1,964 |
| src\views\table                                                 |          1 |         15 |          0 |          3 |         18 |
| src\views\user                                                  |          1 |        132 |          4 |         12 |        148 |
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                        | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+
| g:\香哈菜谱\muen\README.md                                          | Markdown   |         15 |          0 |          5 |         20 |
| g:\香哈菜谱\muen\babel.config.js                                    | JavaScript |          5 |          0 |          1 |          6 |
| g:\香哈菜谱\muen\package-lock.json                                  | JSON       |     11,763 |          0 |          1 |     11,764 |
| g:\香哈菜谱\muen\package.json                                       | JSON       |         43 |          0 |          1 |         44 |
| g:\香哈菜谱\muen\public\index.html                                  | HTML       |         20 |          0 |          1 |         21 |
| g:\香哈菜谱\muen\src\App.vue                                        | Vue        |          9 |          0 |          1 |         10 |
| g:\香哈菜谱\muen\src\api\login\login.js                             | JavaScript |         16 |          0 |          2 |         18 |
| g:\香哈菜谱\muen\src\api\menu\menu.js                               | JavaScript |         80 |          1 |          4 |         85 |
| g:\香哈菜谱\muen\src\api\public\home.js                             | JavaScript |          0 |          0 |          1 |          1 |
| g:\香哈菜谱\muen\src\api\public\type.js                             | JavaScript |        183 |          0 |          7 |        190 |
| g:\香哈菜谱\muen\src\api\request.js                                 | JavaScript |         13 |         21 |          2 |         36 |
| g:\香哈菜谱\muen\src\api\user\user.js                               | JavaScript |         22 |          0 |          1 |         23 |
| g:\香哈菜谱\muen\src\components\Dialog\Dialog.vue                   | Vue        |        195 |          0 |          8 |        203 |
| g:\香哈菜谱\muen\src\components\FilterContainer\FilterContainer.vue | Vue        |         59 |          0 |          3 |         62 |
| g:\香哈菜谱\muen\src\components\Pagination\Pagination.vue           | Vue        |         46 |          0 |          3 |         49 |
| g:\香哈菜谱\muen\src\components\SvgIcon\index.vue                   | Vue        |         41 |          0 |          2 |         43 |
| g:\香哈菜谱\muen\src\const\global_data.js                           | JavaScript |          2 |          0 |          1 |          3 |
| g:\香哈菜谱\muen\src\icons\index.js                                 | JavaScript |          7 |          1 |          3 |         11 |
| g:\香哈菜谱\muen\src\icons\svg\go_top.svg                           | XML        |          1 |          0 |          0 |          1 |
| g:\香哈菜谱\muen\src\icons\svg\liebiao.svg                          | XML        |          1 |          0 |          0 |          1 |
| g:\香哈菜谱\muen\src\icons\svg\liebiao_1.svg                        | XML        |          1 |          0 |          0 |          1 |
| g:\香哈菜谱\muen\src\icons\svg\yibiao.svg                           | XML        |          8 |          0 |          0 |          8 |
| g:\香哈菜谱\muen\src\icons\svg\yonghu.svg                           | XML        |          1 |          0 |          0 |          1 |
| g:\香哈菜谱\muen\src\icons\svg\yonghu_1.svg                         | XML        |          1 |          0 |          0 |          1 |
| g:\香哈菜谱\muen\src\main.js                                        | JavaScript |         19 |          1 |          8 |         28 |
| g:\香哈菜谱\muen\src\router\index.js                                | JavaScript |         52 |          0 |          3 |         55 |
| g:\香哈菜谱\muen\src\store\index.js                                 | JavaScript |         12 |          0 |          1 |         13 |
| g:\香哈菜谱\muen\src\store\types\idnex.js                           | JavaScript |         27 |          8 |          1 |         36 |
| g:\香哈菜谱\muen\src\styles\reset.css                               | CSS        |         51 |          5 |          1 |         57 |
| g:\香哈菜谱\muen\src\utils\global.js                                | JavaScript |         88 |          9 |          5 |        102 |
| g:\香哈菜谱\muen\src\utils\validate.js                              | JavaScript |         16 |         14 |          1 |         31 |
| g:\香哈菜谱\muen\src\views\container\Container.vue                  | Vue        |        195 |          4 |         11 |        210 |
| g:\香哈菜谱\muen\src\views\index\Index.vue                          | Vue        |        108 |          0 |          5 |        113 |
| g:\香哈菜谱\muen\src\views\login\Login.vue                          | Vue        |         90 |          0 |          4 |         94 |
| g:\香哈菜谱\muen\src\views\menu\Menu.vue                            | Vue        |         43 |          0 |          3 |         46 |
| g:\香哈菜谱\muen\src\views\menu\child\Add_menu.vue                  | Vue        |        587 |          2 |         13 |        602 |
| g:\香哈菜谱\muen\src\views\menu\child\U_menu.vue                    | Vue        |        363 |          1 |         14 |        378 |
| g:\香哈菜谱\muen\src\views\public\home\Home.vue                     | Vue        |         13 |          0 |          3 |         16 |
| g:\香哈菜谱\muen\src\views\public\type\Type.vue                     | Vue        |        119 |          1 |          7 |        127 |
| g:\香哈菜谱\muen\src\views\public\type\child\Food.vue               | Vue        |        610 |          3 |          8 |        621 |
| g:\香哈菜谱\muen\src\views\public\type\child\FoodtypeTable.vue      | Vue        |        532 |          4 |         11 |        547 |
| g:\香哈菜谱\muen\src\views\public\type\child\Label.vue              | Vue        |        402 |         15 |         12 |        429 |
| g:\香哈菜谱\muen\src\views\public\type\child\TypeTable.vue          | Vue        |        340 |         15 |         12 |        367 |
| g:\香哈菜谱\muen\src\views\table\Table.vue                          | Vue        |         15 |          0 |          3 |         18 |
| g:\香哈菜谱\muen\src\views\user\User.vue                            | Vue        |        132 |          4 |         12 |        148 |
| g:\香哈菜谱\muen\vue.config.js                                      | JavaScript |         62 |          5 |          4 |         71 |
| Total                                                           |            |     16,408 |        114 |        189 |     16,711 |
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+
